date,airport,direction,time,destination,flight,airline,duration,scraped_at
2026-06-29,PBH,departure,07:00,DAC Dhaka,KB300,Drukair,1h 30m,2026-02-14T14:36:18.281598
2026-06-29,PBH,departure,07:00,CCU Kolkata,B3700,Bhutan Airlines,1h 10m,2026-02-14T14:36:18.408678
2026-06-29,PBH,departure,07:10,KTM Kathmandu,KB400,Drukair,1h 15m,2026-02-14T14:36:18.528908
2026-06-29,PBH,departure,07:50,GAU Guwahati,KB540,Drukair,0h 55m,2026-02-14T14:36:18.693040
2026-06-29,PBH,departure,07:50,KTM Kathmandu,B3771,Bhutan Airlines,1h 20m,2026-02-14T14:36:18.843679
2026-06-29,PBH,departure,09:40,DEL Delhi,KB200,Drukair,2h 20m,2026-02-14T14:36:18.973389
2026-06-29,PBH,departure,11:00,DXB Dubai,KB800,Drukair,4h 40m,2026-02-14T14:36:19.113279
2026-06-29,PBH,departure,11:20,CCU Kolkata,KB210,Drukair,1h 30m,2026-02-14T14:36:19.244213
2026-06-29,PBH,departure,11:30,DEL Delhi,B3773,Bhutan Airlines,2h 20m,2026-02-14T14:36:19.376412
2026-06-29,PBH,departure,16:20,IXB Bagdogra,KB130,Drukair,0h 45m,2026-02-14T14:36:19.505033
2026-06-29,PBH,arrival,10:30,KTM Kathmandu,KB401,Drukair,1h 5m,2026-02-14T14:36:23.656901
2026-06-29,PBH,arrival,10:35,GAU Guwahati,KB141,Drukair,0h 55m,2026-02-14T14:36:23.783840
2026-06-29,PBH,arrival,10:40,DAC Dhaka,KB301,Drukair,1h 30m,2026-02-14T14:36:23.904380
2026-06-29,PBH,arrival,10:50,KTM Kathmandu,B3772,Bhutan Airlines,1h 10m,2026-02-14T14:36:24.073150
2026-06-29,PBH,arrival,15:20,CCU Kolkata,KB211,Drukair,1h 30m,2026-02-14T14:36:24.228483
2026-06-29,PBH,arrival,15:20,DEL Delhi,KB201,Drukair,2h 20m,2026-02-14T14:36:24.361455
2026-06-29,PBH,arrival,17:00,CCU Kolkata,B3701,Bhutan Airlines,1h 10m,2026-02-14T14:36:24.497027
2026-06-29,PBH,arrival,17:00,DEL Delhi,B3774,Bhutan Airlines,2h 10m,2026-02-14T14:36:24.768521
