date,airport,direction,time,destination,flight,airline,duration,page_date_verified,scraped_at
2026-12-10,UBP,departure,08:40,BKK Bangkok,TG21,Thai Airways,1h 5m,True,2026-02-23T11:17:13.530933
2026-12-10,UBP,departure,09:20,DMK Bangkok,SL621,Thai Lion Air,1h 5m,True,2026-02-23T11:17:13.661733
2026-12-10,UBP,departure,10:10,DMK Bangkok,FD3371,Thai AirAsia,1h 10m,True,2026-02-23T11:17:13.806062
2026-12-10,UBP,departure,11:20,DMK Bangkok,DD323,Nok Air,1h 5m,True,2026-02-23T11:17:13.940061
2026-12-10,UBP,departure,12:45,BKK Bangkok,VZ221,Vietjet Thailand,1h 15m,True,2026-02-23T11:17:14.080033
2026-12-10,UBP,departure,13:25,DMK Bangkok,FD3375,Thai AirAsia,1h 5m,True,2026-02-23T11:17:14.230048
2026-12-10,UBP,departure,16:25,BKK Bangkok,VZ225,Vietjet Thailand,1h 20m,True,2026-02-23T11:17:14.392282
2026-12-10,UBP,departure,16:35,DMK Bangkok,SL629,Thai Lion Air,1h 5m,True,2026-02-23T11:17:14.577723
2026-12-10,UBP,departure,17:15,DMK Bangkok,FD3379,Thai AirAsia,1h 10m,True,2026-02-23T11:17:14.736928
2026-12-10,UBP,departure,17:55,BKK Bangkok,TG29,Thai Airways,1h 5m,True,2026-02-23T11:17:14.876702
2026-12-10,UBP,departure,20:20,DMK Bangkok,DD327,Nok Air,1h 5m,True,2026-02-23T11:17:15.015825
2026-12-10,UBP,departure,20:45,DMK Bangkok,FD3373,Thai AirAsia,1h 5m,True,2026-02-23T11:17:15.198017
2026-12-10,UBP,arrival,08:10,BKK Bangkok,TG20,Thai Airways,1h 10m,True,2026-02-23T11:17:24.457513
2026-12-10,UBP,arrival,08:40,DMK Bangkok,SL620,Thai Lion Air,1h 10m,True,2026-02-23T11:17:24.577530
2026-12-10,UBP,arrival,09:40,DMK Bangkok,FD3370,Thai AirAsia,1h 10m,True,2026-02-23T11:17:24.703377
2026-12-10,UBP,arrival,10:50,DMK Bangkok,DD322,Nok Air,1h 10m,True,2026-02-23T11:17:24.825926
2026-12-10,UBP,arrival,12:15,BKK Bangkok,VZ220,Vietjet Thailand,1h 10m,True,2026-02-23T11:17:24.955016
2026-12-10,UBP,arrival,12:55,DMK Bangkok,FD3374,Thai AirAsia,1h 15m,True,2026-02-23T11:17:25.080567
2026-12-10,UBP,arrival,15:45,BKK Bangkok,VZ224,Vietjet Thailand,1h 5m,True,2026-02-23T11:17:25.202891
2026-12-10,UBP,arrival,15:55,DMK Bangkok,SL628,Thai Lion Air,1h 5m,True,2026-02-23T11:17:25.390242
2026-12-10,UBP,arrival,16:45,DMK Bangkok,FD3378,Thai AirAsia,1h 15m,True,2026-02-23T11:17:25.506465
2026-12-10,UBP,arrival,17:25,BKK Bangkok,TG28,Thai Airways,1h 10m,True,2026-02-23T11:17:25.624762
2026-12-10,UBP,arrival,19:50,DMK Bangkok,DD326,Nok Air,1h 10m,True,2026-02-23T11:17:25.731523
2026-12-10,UBP,arrival,20:15,DMK Bangkok,FD3372,Thai AirAsia,1h 10m,True,2026-02-23T11:17:25.847713
