date,airport,direction,time,destination,flight,airline,duration,page_date_verified,scraped_at
2026-04-16,NNT,departure,09:20,DMK Bangkok,FD3555,Thai AirAsia,1h 5m,True,2026-02-18T10:55:49.299324
2026-04-16,NNT,departure,10:55,DMK Bangkok,DD173,Nok Air,1h 10m,True,2026-02-18T10:55:49.377811
2026-04-16,NNT,departure,13:25,DMK Bangkok,FD3553,Thai AirAsia,1h 5m,True,2026-02-18T10:55:49.472232
2026-04-16,NNT,departure,16:40,DMK Bangkok,FD3557,Thai AirAsia,1h 5m,True,2026-02-18T10:55:49.549267
2026-04-16,NNT,departure,19:35,DMK Bangkok,FD3559,Thai AirAsia,1h 10m,True,2026-02-18T10:55:49.625135
2026-04-16,NNT,arrival,08:50,DMK Bangkok,FD3554,Thai AirAsia,1h 20m,True,2026-02-18T10:55:59.826198
2026-04-16,NNT,arrival,10:25,DMK Bangkok,DD172,Nok Air,1h 15m,True,2026-02-18T10:55:59.905202
2026-04-16,NNT,arrival,12:55,DMK Bangkok,FD3552,Thai AirAsia,1h 15m,True,2026-02-18T10:55:59.993344
2026-04-16,NNT,arrival,16:10,DMK Bangkok,FD3556,Thai AirAsia,1h 15m,True,2026-02-18T10:56:00.081424
2026-04-16,NNT,arrival,19:05,DMK Bangkok,FD3558,Thai AirAsia,1h 20m,True,2026-02-18T10:56:00.161182
